"date","Area_Name","Area_Type","Mortgage Affordability Index","Deposit Affordability Index","Rent Affordability Index"
2004-12-31,"Waimate District","TA",0.835,1.0556,0.9204
2004-12-31,"Waipa District","TA",0.8706,1.1005,1.0263
2004-12-31,"Wairoa District","TA",0.9261,1.1707,1.1152
2004-12-31,"Waitaki District","TA",0.7877,0.9958,1.0812
2004-12-31,"Waitomo District","TA",0.8995,1.1371,1.0643
2004-12-31,"Wellington City","TA",0.7957,1.0059,1.047
2004-12-31,"Western Bay of Plenty District","TA",0.6953,0.879,1.0323
2004-12-31,"Westland District","TA",0.9095,1.1497,0.9929
2004-12-31,"Whakatane District","TA",0.787,0.9949,0.9981
2004-12-31,"Whanganui District","TA",0.8922,1.1279,0.9952
2004-12-31,"Whangarei District","TA",0.8095,1.0233,1.013
2004-12-31,"Auckland","Reg",0.8439,1.0669,0.9782
2004-12-31,"Bay of Plenty","Reg",0.7262,0.9181,0.9847
2004-12-31,"Canterbury","Reg",0.8121,1.0266,0.9234
2004-12-31,"Gisborne","Reg",0.8204,1.0371,1.0483
2004-12-31,"Hawke's Bay","Reg",0.7182,0.9079,0.9693
2004-12-31,"Manawatu-Wanganui","Reg",0.8707,1.1007,0.9834
2004-12-31,"Marlborough","Reg",0.7178,0.9074,0.9045
2004-12-31,"Nelson","Reg",0.7644,0.9664,1.0021
2004-12-31,"Northland","Reg",0.7841,0.9912,1.0213
2004-12-31,"Otago","Reg",0.7304,0.9234,0.97
2004-12-31,"Southland","Reg",0.9481,1.1985,0.9381
2004-12-31,"Taranaki","Reg",0.8145,1.0297,1.0144
2004-12-31,"Tasman","Reg",0.6993,0.884,0.9947
2004-12-31,"Waikato","Reg",0.7821,0.9887,0.9692
2004-12-31,"Wellington","Reg",0.8185,1.0347,1.042
2004-12-31,"West Coast","Reg",0.8685,1.098,0.9915
2005-03-31,"Ashburton District","TA",0.8693,1.1436,1.0242
2005-03-31,"Buller District","TA",0.7297,0.96,1.0699
2005-03-31,"Carterton District","TA",0.8062,1.0606,1.0101
2005-03-31,"Central Hawkes Bay District","TA",0.7038,0.9259,0.9166
2005-03-31,"Central Otago District","TA",0.6569,0.8643,0.8454
2005-03-31,"Christchurch City","TA",0.7215,0.9492,0.9036
2005-03-31,"Clutha District","TA",0.7707,1.0139,0.9532
2005-03-31,"Dunedin City","TA",0.6694,0.8807,0.9706
2005-03-31,"Far North District","TA",0.6461,0.85,1.0264
