Suburb,Average property value,6-month change %,6-month change $
Frankton,"$1,282,000",-2.36,-31000
Glenorchy,"$1,586,000",5.03,76000
Jacks Point,"$1,791,000",1.36,24000
Lake Hawea,"$1,317,000",3.46,44000
Lake Hayes,"$2,890,000",4.29,119000
Lower Shotover,"$1,886,000",3.97,72000
Luggate,"$1,222,000",2.86,34000
Queenstown,"$1,805,000",0.78,14000
Wanaka,"$2,154,000",0.19,4000
Holmes Hill,"$584,000",2.46,14000
Kakanui,"$648,000",4.01,25000
Oamaru,"$446,000",2.29,10000
Oamaru North,"$498,000",2.26,11000
Otematata,"$560,000",1.82,10000
Palmerston,"$454,000",2.71,12000
South Hill,"$526,000",0.96,5000
Weston,"$762,000",2.01,15000
East Gore,"$416,000",5.05,20000
Gore,"$492,000",4.46,21000
Mataura,"$316,000",7.48,22000
Appleby,"$358,000",2.29,8000
Avenal,"$497,000",0.81,4000
Bluff,"$365,000",4.29,15000
Clifton,"$408,000",3.03,12000
Georgetown,"$404,000",3.32,13000
Gladstone,"$647,000",3.52,22000
Glengarry,"$460,000",3.84,17000
Grasmere,"$485,000",2.54,12000
Hargest,"$543,000",1.5,8000
Hawthorndale,"$506,000",2.22,11000
Heidelberg,"$437,000",4.05,17000
Kingswell,"$438,000",4.78,20000
Newfield,"$472,000",1.51,7000
Otatara,"$815,000",3.03,24000
Richmond,"$508,000",1.6,8000
Rockdale,"$474,000",2.82,13000
Rosedale,"$765,000",2.27,17000
Strathern,"$402,000",2.29,9000
Waikiwi,"$643,000",4.21,26000
Waverley,"$588,000",3.16,18000
Windsor,"$596,000",1.36,8000
Kingston,"$870,000",1.16,10000
Makarewa,"$776,000",2.65,20000
Otautau,"$412,000",-0.24,-1000
Riversdale,"$570,000",0.35,2000
Riverton/Aparima,"$673,000",3.38,22000
Te Anau,"$826,000",1.72,14000
Wallacetown,"$571,000",-1.89,-11000
Winton,"$604,000",-0.33,-2000
Bell Block,"$755,000",0.94,7000
Blagdon,"$595,000",1.71,10000
Fitzroy,"$978,000",4.6,43000
Frankleigh Park,"$723,000",1.83,13000
Highlands Park,"$893,000",1.02,9000
Hurdon,"$818,000",1.11,9000
Hurworth,"$1,160,000",2.65,30000
Inglewood,"$651,000",1.09,7000
Lower Vogeltown,"$731,000",2.24,16000
Lynmouth,"$704,000",1,7000
Marfell,"$497,000",2.69,13000
Merrilands,"$768,000",0.39,3000
Moturoa,"$751,000",0.94,7000
New Plymouth,"$873,000",1.39,12000
