Suburb,Local_authority,Average_property_value,Date
Mangawhai Heads,Kaipara,1372000,2024-11-01
Coromandel,Thames-Coromandel,795000,2024-11-01
Riverstone Terraces,Upper Hutt,1030000,2024-11-01
Newlands,Wellington,813000,2024-11-01
Levin,Horowhenua,569000,2024-11-01
Awanui,Far North,452000,2024-11-01
Paekakariki,Kapiti Coast,924000,2024-11-01
Karikari Peninsula,Far North,717000,2024-11-01
Kelburn,Wellington,1345000,2024-11-01
Tauranga,Tauranga,973000,2024-11-01
Saint Johns Hill,Whanganui,669000,2024-11-01
Paraparaumu Beach,Kapiti Coast,851000,2024-11-01
Mount Cook,Wellington,744000,2024-11-01
Havelock North,Hastings,1176000,2024-11-01
Matangi,Waikato,1633000,2024-11-01
Raumati South,Kapiti Coast,878000,2024-11-01
Northland,Wellington,1039000,2024-11-01
Westport,Buller,400000,2024-11-01
Mount Eden,Auckland City,1706000,2024-11-01
Whangamata,Thames-Coromandel,1378000,2024-11-01
Otamatea,Whanganui,886000,2024-11-01
Seatoun,Wellington,1665000,2024-11-01
Dairy Flat,Auckland Rodney,2282000,2024-11-01
Stillwater,Auckland Rodney,1567000,2024-11-01
Papamoa Beach,Tauranga,1035000,2024-11-01
Dargaville,Kaipara,509000,2024-11-01
Mataura,Gore,299000,2024-11-01
Ramarama,Auckland Franklin,1407000,2024-11-01
Aro Valley,Wellington,890000,2024-11-01
Te Aro,Wellington,690000,2024-11-01
Orewa,Auckland Rodney,1230000,2024-11-01
Mahia,Wairoa,769000,2024-11-01
Glenbrook,Auckland Franklin,1125000,2024-11-01
Kerikeri,Far North,1033000,2024-11-01
Paerata,Auckland Franklin,1324000,2024-11-01
Waitakere,Auckland Waitakere,1353000,2024-11-01
Otaihanga,Kapiti Coast,1087000,2024-11-01
Reefton,Buller,374000,2024-11-01
Kaukapakapa,Auckland Rodney,1374000,2024-11-01
Matarangi,Thames-Coromandel,1116000,2024-11-01
Wellington Central,Wellington,521000,2024-11-01
Kilbirnie,Wellington,842000,2024-11-01
Mangawhai,Kaipara,1367000,2024-11-01
Thorndon,Wellington,901000,2024-11-01
Tinwald,Ashburton,621000,2024-11-01
Strathmore Park,Wellington,950000,2024-11-01
Clevedon,Auckland Manukau,1940000,2024-11-01
Wairoa,Wairoa,318000,2024-11-01
Russell,Far North,1528000,2024-11-01
Hunua,Auckland Franklin,1344000,2024-11-01
Totara Park,Auckland Manukau,1441000,2024-11-01
Coatesville,Auckland Rodney,3388000,2024-11-01
Whitford,Auckland Manukau,3341000,2024-11-01
Allenton,Ashburton,638000,2024-11-01
Netherby,Ashburton,560000,2024-11-01
Blaketown,Grey,349000,2025-01-01
Woodville,Tararua,446000,2025-01-01
Cobden,Grey,329000,2025-01-01
Runanga,Grey,308000,2025-01-01
Hokitika,Westland,486000,2025-01-01
Pahiatua,Tararua,491000,2025-01-01
Karoro,Grey,624000,2025-01-01
Lake Hayes,Queenstown-Lakes,2771000,2025-01-01
Greymouth,Grey,474000,2025-01-01
Methven,Ashburton,759000,2025-01-01
Arrowtown,Queenstown-Lakes,2800000,2025-01-01
Kaikoura,Kaikoura,766000,2025-01-01
Ahuriri,Napier,1098000,2025-01-01
Lake Tekapo,Mackenzie,1184000,2025-01-01
Whanganui,Whanganui,430000,2025-01-01
Tapanui,Clutha,437000,2025-01-01
Riversdale Beach,Masterton,955000,2025-01-01
Rakaia,Ashburton,581000,2025-01-01
Hampstead,Ashburton,468000,2025-01-01
Wanaka,Queenstown-Lakes,2150000,2025-01-01
Weston,Waitaki,747000,2025-01-01
Gonville,Whanganui,448000,2025-01-01
Te Anau,Southland,812000,2025-01-01
Mount Pisa,Central Otago,1492000,2025-01-01
Frankton,Queenstown-Lakes,1313000,2025-01-01
Kaitangata,Clutha,312000,2025-01-01
Netherby,Ashburton,576000,2025-01-01
Queenstown,Queenstown-Lakes,1791000,2025-01-01
Beerescourt,Hamilton,1053000,2025-01-01
Allenton,Ashburton,653000,2025-01-01
Kaiti,Gisborne,515000,2025-01-01
Richmond,Invercargill,500000,2025-01-01
Eltham,South Taranaki,428000,2025-01-01
Takaka,Tasman,713000,2025-01-01
Ashburton,Ashburton,526000,2025-01-01
Twizel,Mackenzie,783000,2025-01-01
Richmond Heights,Taupo,815000,2025-01-01
Matakana,Auckland Rodney,1973000,2025-01-01
Loburn,Waimakariri,1196000,2025-01-01
Outer Kaiti,Gisborne,498000,2025-01-01
Liberton,Dunedin,500000,2025-01-01
Fernhill,Queenstown-Lakes,1381000,2025-01-01
Lower Shotover,Queenstown-Lakes,1814000,2025-01-01
Eyrewell,Waimakariri,1067000,2025-01-01
Bradford,Dunedin,600000,2025-01-01
Wakari,Dunedin,620000,2025-01-01
Waikanae Beach,Kapiti Coast,941000,2025-01-01
Avenal,Invercargill,493000,2025-01-01
Grasmere,Invercargill,473000,2025-01-01
Wallacetown,Southland,582000,2025-01-01
Kirwee,Selwyn,1031000,2025-01-01
Aranui,Christchurch,499000,2025-01-01
Springvale,Whanganui,592000,2025-01-01
Whanganui East,Whanganui,464000,2025-01-01
Newfield,Invercargill,465000,2025-01-01
Wainoni,Christchurch,530000,2025-01-01
Helensburgh,Dunedin,744000,2025-01-01
Strathern,Invercargill,393000,2025-01-01
Piopio,Waitomo,462000,2025-01-01
Marshland,Christchurch,1104000,2025-01-01
Saint Kilda,Dunedin,521000,2025-01-01
Hawthorndale,Invercargill,495000,2025-01-01
Waverley,South Taranaki,423000,2025-01-01
Tinwald,Ashburton,628000,2025-01-01
Papanui,Christchurch,778000,2025-01-01
Kinloch,Taupo,1407000,2025-01-01
Oneroa,Auckland City,2191000,2025-01-01
Avondale,Christchurch,575000,2025-01-01
Fernside,Waimakariri,1304000,2025-01-01
Sefton,Waimakariri,1016000,2025-01-01
Point Wells,Auckland Rodney,2414000,2025-01-01
Dallington,Christchurch,608000,2025-01-01
College Estate,Whanganui,614000,2025-01-01
Mangawhai,Kaipara,1377000,2025-01-01
Kennedys Bush,Christchurch,1811000,2025-01-01
Phillipstown,Christchurch,467000,2025-01-01
Kaikorai,Dunedin,598000,2025-01-01
Palmerston,Waitaki,442000,2025-01-01
Cromwell,Central Otago,1008000,2025-01-01
Abbotsford,Dunedin,633000,2025-01-01
Green Island,Dunedin,620000,2025-01-01
Appleby,Invercargill,350000,2025-01-01
Paraparaumu,Kapiti Coast,799000,2025-01-01
Southshore,Christchurch,730000,2025-01-01
Cust,Waimakariri,1079000,2025-01-01
Tawhero,Whanganui,544000,2025-01-01
Hilltop,Taupo,903000,2025-01-01
Deanwell,Waipa,664000,2025-01-01
Solway,Masterton,622000,2025-01-01
Hillmorton,Christchurch,696000,2025-01-01
Templeton,Christchurch,817000,2025-01-01
Stoke,Nelson,757000,2025-01-01
Georgetown,Invercargill,391000,2025-01-01
Windsor,Invercargill,588000,2025-01-01
Hamilton Lake,Hamilton,931000,2025-01-01
Taupo,Taupo,764000,2025-01-01
Raglan,Waikato,1197000,2025-01-01
Waimate,Waimate,522000,2025-01-01
Mosgiel,Dunedin,744000,2025-01-01
Oamaru North,Waitaki,487000,2025-01-01
Maeroa,Hamilton,754000,2025-01-01
Fairview Downs,Waikato,742000,2025-01-01
Diamond Harbour,Christchurch,795000,2025-01-01
Brighton,Dunedin,749000,2025-01-01
Outram,Dunedin,850000,2025-01-01
Islington,Christchurch,586000,2025-01-01
Woolston,Christchurch,580000,2025-01-01
Mornington,Dunedin,586000,2025-01-01
Waipahihi,Taupo,1141000,2025-01-01
Kawerau,Kawerau,402000,2025-01-01
Fendalton,Christchurch,1782000,2025-01-01
Hei Hei,Christchurch,624000,2025-01-01
Hanmer Springs,Hurunui,856000,2025-01-01
Brockville,Dunedin,539000,2025-01-01
Glengarry,Invercargill,443000,2025-01-01
Acacia Bay,Taupo,1393000,2025-01-01
Mairehau,Christchurch,671000,2025-01-01
Redwood,Christchurch,685000,2025-01-01
Geraldine,Timaru,620000,2025-01-01
Castlecliff,Whanganui,447000,2025-01-01
Cambridge,Waipa,1209000,2025-01-01
Sumner,Christchurch,1203000,2025-01-01
Aramoho,Whanganui,504000,2025-01-01
Lansdowne,Masterton,639000,2025-01-01
Saint Johns Hill,Whanganui,687000,2025-01-01
Roxburgh,Central Otago,488000,2025-01-01
Milton,Clutha,448000,2025-01-01
Waverley,Dunedin,802000,2025-01-01
Gladstone,Invercargill,625000,2025-01-01
Fairfield,Hamilton,778000,2025-01-01
Queenwood,Hamilton,1048000,2025-01-01
Amberley,Hurunui,749000,2025-01-01
Corstorphine,Dunedin,612000,2025-01-01
Raumati Beach,Kapiti Coast,863000,2025-01-01
Masterton,Masterton,538000,2025-01-01
Parkvale,Tauranga,668000,2025-01-01
Lincoln,Selwyn,1019000,2025-01-01
Ohoka,Waimakariri,1506000,2025-01-01
Durie Hill,Whanganui,615000,2025-01-01
Concord,Dunedin,586000,2025-01-01
Halfway Bush,Dunedin,635000,2025-01-01
Sawyers Bay,Dunedin,670000,2025-01-01
Richmond,Tasman,831000,2025-01-01
Tauhara,Taupo,615000,2025-01-01
Avonhead,Christchurch,833000,2025-01-01
Heathcote Valley,Christchurch,840000,2025-01-01
Prebbleton,Selwyn,1309000,2025-01-01
Temuka,Timaru,525000,2025-01-01
Balclutha,Clutha,454000,2025-01-01
Rosedale,Invercargill,748000,2025-01-01
Westown,New Plymouth,646000,2025-01-01
Opunake,South Taranaki,494000,2025-01-01
Wharewaka,Taupo,1385000,2025-01-01
Cracroft,Christchurch,1181000,2025-01-01
South New Brighton,Christchurch,627000,2025-01-01
Parkside,Timaru,467000,2025-01-01
Maryhill,Dunedin,598000,2025-01-01
St Andrews,Hamilton,865000,2025-01-01
Casebrook,Christchurch,860000,2025-01-01
Hornby,Christchurch,611000,2025-01-01
Dannevirke,Tararua,487000,2025-01-01
Eketahuna,Tararua,417000,2025-01-01
Belleknowes,Dunedin,816000,2025-01-01
Saint Clair,Dunedin,878000,2025-01-01
Waikouaiti,Dunedin,543000,2025-01-01
Kew,Invercargill,365000,2025-01-01
Claudelands,Hamilton,783000,2025-01-01
Ngatea,Hauraki,735000,2025-01-01
Bunnythorpe,Manawatu,889000,2025-01-01
Fairfield,Dunedin,777000,2025-01-01
Russley,Christchurch,721000,2025-01-01
Otamatea,Whanganui,906000,2025-01-01
Fitzroy,Hamilton,807000,2025-01-01
Pukete,Hamilton,838000,2025-01-01
Silverdale,Hamilton,748000,2025-01-01
Wigram,Christchurch,872000,2025-01-01
Te Kamo,Whangarei,752000,2025-01-01
Forbury,Dunedin,455000,2025-01-01
Maori Hill,Dunedin,1066000,2025-01-01
Kingswell,Invercargill,418000,2025-01-01
Mangere East,Auckland Manukau,867000,2025-01-01
Whakamarama,Western Bay of Plenty,1524000,2025-01-01
Bishopdale,Christchurch,689000,2025-01-01
Bromley,Christchurch,534000,2025-01-01
Tai Tapu,Selwyn,1502000,2025-01-01
Kaiapoi,Waimakariri,694000,2025-01-01
Andersons Bay,Dunedin,671000,2025-01-01
Selwyn Heights,Rotorua,521000,2025-01-01
Burwood,Christchurch,702000,2025-01-01
Halswell,Christchurch,857000,2025-01-01
Hoon Hay,Christchurch,670000,2025-01-01
Kenmure,Dunedin,619000,2025-01-01
Port Chalmers,Dunedin,568000,2025-01-01
South Hill,Waitaki,521000,2025-01-01
Vogeltown,New Plymouth,620000,2025-01-01
Bader,Hamilton,604000,2025-01-01
Nukuhau,Taupo,903000,2025-01-01
Onewhero,Waikato,987000,2025-01-01
Waikanae,Kapiti Coast,918000,2025-01-01
Timberlea,Upper Hutt,811000,2025-01-01
Avonside,Christchurch,549000,2025-01-01
Waltham,Christchurch,523000,2025-01-01
Waipawa,Central Hawke's Bay,634000,2025-01-01
Glenfield,Auckland North Shore,1042000,2025-01-01
Mount Maunganui,Tauranga,1456000,2025-01-01
Flaxmere,Hastings,498000,2025-01-01
Tahunanui,Nelson,689000,2025-01-01
Hamilton East,Hamilton,737000,2025-01-01
Melville,Hamilton,666000,2025-01-01
Rangatira Park,Taupo,1015000,2025-01-01
Avalon,Lower Hutt,732000,2025-01-01
Elgin,Ashburton,990000,2025-01-01
Merivale,Christchurch,1580000,2025-01-01
Yaldhurst,Christchurch,994000,2025-01-01
North East Valley,Dunedin,553000,2025-01-01
Shiel Hill,Dunedin,792000,2025-01-01
Heidelberg,Invercargill,420000,2025-01-01
Winton,Southland,606000,2025-01-01
Brown Owl,Upper Hutt,766000,2025-01-01
Totara Park,Upper Hutt,700000,2025-01-01
Onetangi,Auckland City,1936000,2025-01-01
Edgeware,Christchurch,562000,2025-01-01
New Brighton,Christchurch,561000,2025-01-01
Leithfield,Hurunui,681000,2025-01-01
Waimataitai,Timaru,514000,2025-01-01
Rangiora,Waimakariri,715000,2025-01-01
Westmere,Whanganui,1031000,2025-01-01
Mangawhai Heads,Kaipara,1402000,2025-01-01
Ranfurly,Central Otago,458000,2025-01-01
Dunedin Central,Dunedin,708000,2025-01-01
Forest Lake,Hamilton,767000,2025-01-01
Hamilton Central,Hamilton,769000,2025-01-01
Raumati South,Kapiti Coast,885000,2025-01-01
Wallaceville,Upper Hutt,776000,2025-01-01
Ilam,Christchurch,947000,2025-01-01
Parklands,Christchurch,754000,2025-01-01
Fairlie,Mackenzie,559000,2025-01-01
Watlington,Timaru,478000,2025-01-01
Waikiwi,Invercargill,617000,2025-01-01
Strandon,New Plymouth,996000,2025-01-01
Chedworth,Hamilton,931000,2025-01-01
Grandview Heights,Hamilton,925000,2025-01-01
Nawton,Hamilton,673000,2025-01-01
Kuripuni,Masterton,531000,2025-01-01
Spreydon,Christchurch,632000,2025-01-01
Sydenham,Christchurch,573000,2025-01-01
Waimairi Beach,Christchurch,995000,2025-01-01
Oamaru,Waitaki,436000,2025-01-01
Bluff,Invercargill,350000,2025-01-01
Waitara,New Plymouth,493000,2025-01-01
Redwood Valley,Tasman,1573000,2025-01-01
Aidanfield,Christchurch,927000,2025-01-01
Rongotea,Manawatu,709000,2025-01-01
Ohakune,Ruapehu,485000,2025-01-01
Kaitaia,Far North,456000,2025-01-01
Albert Town,Queenstown-Lakes,1625000,2025-01-01
Brooklands,New Plymouth,693000,2025-01-01
Ferndale,New Plymouth,796000,2025-01-01
Enderley,Hamilton,628000,2025-01-01
Buckland,Waikato,1318000,2025-01-01
Heretaunga,Upper Hutt,948000,2025-01-01
Silverstream,Upper Hutt,878000,2025-01-01
Westport,Buller,403000,2025-01-01
Pleasant Point,Timaru,604000,2025-01-01
Otane,Central Hawke's Bay,763000,2025-01-01
Haumoana,Hastings,1197000,2025-01-01
Kaikohe,Far North,406000,2025-01-01
South Dunedin,Dunedin,417000,2025-01-01
Tainui,Dunedin,606000,2025-01-01
Upper Vogeltown,New Plymouth,692000,2025-01-01
Matarangi,Thames-Coromandel,1167000,2025-01-01
Clouston Park,Upper Hutt,672000,2025-01-01
Pinehaven,Upper Hutt,772000,2025-01-01
Pinehill,Auckland North Shore,1797000,2025-01-01
Bryndwr,Christchurch,814000,2025-01-01
Oxford,Waimakariri,710000,2025-01-01
Musselburgh,Dunedin,637000,2025-01-01
Roslyn,Dunedin,894000,2025-01-01
Holmes Hill,Waitaki,570000,2025-01-01
Martinborough,South Wairarapa,985000,2025-01-01
Weymouth,Auckland Manukau,799000,2025-01-01
Poike,Tauranga,706000,2025-01-01
Akaroa,Christchurch,1075000,2025-01-01
Broomfield,Christchurch,707000,2025-01-01
Opawa,Christchurch,795000,2025-01-01
Strowan,Christchurch,1243000,2025-01-01
Frimley,Hastings,902000,2025-01-01
North Dunedin,Dunedin,711000,2025-01-01
Huntington,Hamilton,1068000,2025-01-01
Glenview,Waipa,778000,2025-01-01
Ohaupo,Waipa,1275000,2025-01-01
Aongatete,Western Bay of Plenty,1292000,2025-01-01
Belfast,Christchurch,700000,2025-01-01
North New Brighton,Christchurch,593000,2025-01-01
Saint Martins,Christchurch,769000,2025-01-01
Upper Riccarton,Christchurch,687000,2025-01-01
Sanson,Manawatu,651000,2025-01-01
Russell,Far North,1531000,2025-01-01
Caversham,Dunedin,467000,2025-01-01
Luggate,Queenstown-Lakes,1188000,2025-01-01
Moturoa,New Plymouth,744000,2025-01-01
Mapua,Tasman,1126000,2025-01-01
Hillcrest,Hamilton,789000,2025-01-01
Trentham,Upper Hutt,698000,2025-01-01
Huapai,Auckland Rodney,1273000,2025-01-01
Sockburn,Christchurch,624000,2025-01-01
Leeston,Selwyn,778000,2025-01-01
Southbridge,Selwyn,655000,2025-01-01
West Melton,Selwyn,1317000,2025-01-01
Waipukurau,Central Hawke's Bay,635000,2025-01-01
Maungaturoto,Kaipara,753000,2025-01-01
Clifton,Invercargill,396000,2025-01-01
Inglewood,New Plymouth,644000,2025-01-01
Rototuna,Hamilton,1029000,2025-01-01
Birchville,Upper Hutt,714000,2025-01-01
Orewa,Auckland Rodney,1246000,2025-01-01
Wellsford,Auckland Rodney,853000,2025-01-01
Oropi,Western Bay of Plenty,1526000,2025-01-01
Addington,Christchurch,558000,2025-01-01
Swannanoa,Waimakariri,1309000,2025-01-01
Waverley,Invercargill,570000,2025-01-01
Chartwell,Hamilton,839000,2025-01-01
Greytown,South Wairarapa,956000,2025-01-01
Milford,Auckland North Shore,1799000,2025-01-01
Opotiki,Opotiki,473000,2025-01-01
Omanawa,Western Bay of Plenty,1385000,2025-01-01
Clifton,Christchurch,1339000,2025-01-01
Redcliffs,Christchurch,1201000,2025-01-01
Glenwood,Timaru,547000,2025-01-01
Mayfair,Hastings,627000,2025-01-01
Fitzroy,New Plymouth,935000,2025-01-01
Dinsdale,Hamilton,718000,2025-01-01
Whitiora,Hamilton,654000,2025-01-01
Campbells Bay,Auckland North Shore,2356000,2025-01-01
Minden,Western Bay of Plenty,1599000,2025-01-01
Te Puke,Western Bay of Plenty,811000,2025-01-01
Hillsborough,Christchurch,828000,2025-01-01
Shirley,Christchurch,655000,2025-01-01
Darfield,Selwyn,844000,2025-01-01
Rolleston,Selwyn,863000,2025-01-01
Woodend,Waimakariri,733000,2025-01-01
Feilding,Manawatu,656000,2025-01-01
Whangarei Heads,Whangarei,1072000,2025-01-01
Spotswood,New Plymouth,562000,2025-01-01
Paeroa,Hauraki,584000,2025-01-01
Pukekawa,Waikato,1108000,2025-01-01
Leamington,Waipa,941000,2025-01-01
Ebdentown,Upper Hutt,668000,2025-01-01
Riverstone Terraces,Upper Hutt,1041000,2025-01-01
Reefton,Buller,375000,2025-01-01
Fairview Heights,Auckland North Shore,1632000,2025-01-01
Greenhithe,Auckland North Shore,1790000,2025-01-01
Totara Vale,Auckland North Shore,1023000,2025-01-01
Helensville,Auckland Rodney,1183000,2025-01-01
Stillwater,Auckland Rodney,1625000,2025-01-01
Glen Eden,Auckland Waitakere,853000,2025-01-01
Western Heights,Rotorua,512000,2025-01-01
Tauranga,Tauranga,989000,2025-01-01
Tahawai,Western Bay of Plenty,1243000,2025-01-01
Cashmere,Christchurch,1170000,2025-01-01
Seaview,Timaru,479000,2025-01-01
West End,Timaru,498000,2025-01-01
Maraenui,Napier,480000,2025-01-01
Aokautere,Palmerston North,1162000,2025-01-01
Avenues,Whangarei,542000,2025-01-01
Te Kauwhata,Waikato,824000,2025-01-01
Elderslea,Upper Hutt,728000,2025-01-01
Albany,Auckland North Shore,1136000,2025-01-01
Coastlands,Whakatane,987000,2025-01-01
Glenbervie,Whangarei,1154000,2025-01-01
Kelvin Heights,Queenstown-Lakes,2754000,2025-01-01
Otatara,Invercargill,791000,2025-01-01
Wakefield,Tasman,899000,2025-01-01
Whatawhata,Waikato,1191000,2025-01-01
Woburn,Lower Hutt,1175000,2025-01-01
Mangakakahi,Rotorua,517000,2025-01-01
Owhata,Rotorua,659000,2025-01-01
Westmorland,Christchurch,1182000,2025-01-01
Napier South,Napier,656000,2025-01-01
Oakura,New Plymouth,1327000,2025-01-01
Turangi,Taupo,483000,2025-01-01
Paraparaumu Beach,Kapiti Coast,853000,2025-01-01
Browns Bay,Auckland North Shore,1244000,2025-01-01
Burnside,Christchurch,898000,2025-01-01
Northwood,Christchurch,1081000,2025-01-01
Riccarton,Christchurch,756000,2025-01-01
Snells Beach,Auckland Rodney,1103000,2025-01-01
Athenree,Western Bay of Plenty,1091000,2025-01-01
Richmond,Christchurch,576000,2025-01-01
Somerfield,Christchurch,744000,2025-01-01
Morningside,Whangarei,563000,2025-01-01
Alexandra,Central Otago,774000,2025-01-01
Motueka,Tasman,716000,2025-01-01
Frankton,Hamilton,651000,2025-01-01
Tamahere,Waikato,2043000,2025-01-01
Otaihanga,Kapiti Coast,1095000,2025-01-01
Wainuiomata,Lower Hutt,640000,2025-01-01
Berhampore,Wellington,844000,2025-01-01
Unsworth Heights,Auckland North Shore,1178000,2025-01-01
Kumeu,Auckland Rodney,1504000,2025-01-01
Ngongotaha,Rotorua,691000,2025-01-01
Gate Pa,Tauranga,679000,2025-01-01
Mount Pleasant,Christchurch,1167000,2025-01-01
St Albans,Christchurch,889000,2025-01-01
Halcombe,Manawatu,812000,2025-01-01
Clyde,Central Otago,946000,2025-01-01
Appleby,Tasman,1020000,2025-01-01
Kihikihi,Waipa,755000,2025-01-01
Freemans Bay,Auckland City,1669000,2025-01-01
Coatesville,Auckland Rodney,3536000,2025-01-01
Warkworth,Auckland Rodney,1225000,2025-01-01
Te Hapara,Gisborne,565000,2025-01-01
Kaiwaka,Kaipara,921000,2025-01-01
Kauri,Whangarei,1043000,2025-01-01
Flagstaff,Hamilton,1127000,2025-01-01
Huntly,Waikato,553000,2025-01-01
Pokeno,Waikato,1024000,2025-01-01
Kelson,Lower Hutt,844000,2025-01-01
Wilton,Wellington,934000,2025-01-01
Auckland Central,Auckland City,573000,2025-01-01
Lynmore,Rotorua,914000,2025-01-01
Highfield,Timaru,606000,2025-01-01
Parkvale,Hastings,676000,2025-01-01
Ashhurst,Manawatu,708000,2025-01-01
Redwoodtown,Marlborough,595000,2025-01-01
Bridge Hill,Central Otago,943000,2025-01-01
Frankleigh Park,New Plymouth,710000,2025-01-01
Otorohanga,Otorohanga,633000,2025-01-01
Ngahinapouri,Waipa,1352000,2025-01-01
Moera,Lower Hutt,587000,2025-01-01
Eden Terrace,Auckland City,803000,2025-01-01
Castor Bay,Auckland North Shore,1982000,2025-01-01
Sunnynook,Auckland North Shore,1192000,2025-01-01
Hobsonville,Auckland Waitakere,1131000,2025-01-01
Harewood,Christchurch,1117000,2025-01-01
Marchwiel,Timaru,522000,2025-01-01
Pegasus,Waimakariri,850000,2025-01-01
Westbrook,Palmerston North,565000,2025-01-01
Riversdale,Marlborough,548000,2025-01-01
Toi Toi,Nelson,549000,2025-01-01
Korokoro,Lower Hutt,954000,2025-01-01
Waterloo,Lower Hutt,830000,2025-01-01
Dannemora,Auckland Manukau,1647000,2025-01-01
Omokoroa,Western Bay of Plenty,1112000,2025-01-01
Northcote,Christchurch,584000,2025-01-01
Eskdale,Hastings,1352000,2025-01-01
Hikurangi,Whangarei,568000,2025-01-01
Tasman,Tasman,1529000,2025-01-01
Tokoroa,South Waikato,424000,2025-01-01
Tuakau,Waikato,836000,2025-01-01
Stokes Valley,Lower Hutt,641000,2025-01-01
Paremata,Porirua,917000,2025-01-01
Hillcrest,Auckland North Shore,1230000,2025-01-01
Victoria,Rotorua,504000,2025-01-01
Matua,Tauranga,1178000,2025-01-01
Edgecumbe,Whakatane,641000,2025-01-01
Elgin,Gisborne,471000,2025-01-01
Whataupoko,Gisborne,820000,2025-01-01
Kawakawa,Far North,507000,2025-01-01
Normanby,South Taranaki,510000,2025-01-01
Morrinsville,Matamata-Piako,784000,2025-01-01
Te Aroha,Matamata-Piako,684000,2025-01-01
Belmont,Lower Hutt,931000,2025-01-01
Clendon Park,Auckland Manukau,731000,2025-01-01
Bayview,Auckland North Shore,1011000,2025-01-01
Windsor Park,Auckland North Shore,1372000,2025-01-01
Bethlehem,Tauranga,1119000,2025-01-01
Huntsbury,Christchurch,1149000,2025-01-01
Gleniti,Timaru,823000,2025-01-01
Springlands,Marlborough,819000,2025-01-01
Glenorchy,Queenstown-Lakes,1510000,2025-01-01
Blagdon,New Plymouth,585000,2025-01-01
Patea,South Taranaki,303000,2025-01-01
Brightwater,Tasman,932000,2025-01-01
Boulcott,Lower Hutt,861000,2025-01-01
Maraetai,Auckland Manukau,1532000,2025-01-01
Forrest Hill,Auckland North Shore,1402000,2025-01-01
Torbay,Auckland North Shore,1270000,2025-01-01
Kaukapakapa,Auckland Rodney,1423000,2025-01-01
Lyttelton,Christchurch,776000,2025-01-01
Riverdale,Gisborne,775000,2025-01-01
Nelson South,Nelson,760000,2025-01-01
Washington Valley,Nelson,617000,2025-01-01
Ngunguru,Whangarei,1003000,2025-01-01
Marfell,New Plymouth,484000,2025-01-01
Welbourn,New Plymouth,701000,2025-01-01
Upper Moutere,Tasman,1271000,2025-01-01
Rototuna North,Hamilton,1021000,2025-01-01
Matangi,Waikato,1645000,2025-01-01
Otaki,Kapiti Coast,703000,2025-01-01
Otaki Beach,Kapiti Coast,611000,2025-01-01
Paekakariki,Kapiti Coast,923000,2025-01-01
Grafton,Auckland City,657000,2025-01-01
Waiake,Auckland North Shore,1613000,2025-01-01
Red Beach,Auckland Rodney,1239000,2025-01-01
Christchurch Central,Christchurch,686000,2025-01-01
Kensington,Timaru,458000,2025-01-01
Clive,Hastings,910000,2025-01-01
Atawhai,Nelson,924000,2025-01-01
Cooks Beach,Thames-Coromandel,1454000,2025-01-01
Epuni,Lower Hutt,778000,2025-01-01
Saint Heliers,Auckland City,2284000,2025-01-01
Omaha,Auckland Rodney,2813000,2025-01-01
Hastings,Hastings,603000,2025-01-01
Onekawa,Napier,584000,2025-01-01
Foxton,Horowhenua,508000,2025-01-01
Awapuni,Palmerston North,619000,2025-01-01
Marton,Rangitikei,490000,2025-01-01
Enner Glynn,Nelson,885000,2025-01-01
Woodhill,Whangarei,588000,2025-01-01
Naenae,Lower Hutt,620000,2025-01-01
Northpark,Auckland Manukau,1450000,2025-01-01
Schnapper Rock,Auckland North Shore,1668000,2025-01-01
Whenuapai,Auckland Waitakere,1239000,2025-01-01
Pukehangi,Rotorua,623000,2025-01-01
Springfield,Rotorua,791000,2025-01-01
Oceanview,Timaru,639000,2025-01-01
Taradale,Napier,819000,2025-01-01
Highbury,Palmerston North,526000,2025-01-01
Kelvin Grove,Palmerston North,801000,2025-01-01
Burleigh,Marlborough,1008000,2025-01-01
Maungakaramea,Whangarei,846000,2025-01-01
Maungatapere,Whangarei,1018000,2025-01-01
Parua Bay,Whangarei,1094000,2025-01-01
Mission Bay,Auckland City,2201000,2025-01-01
Devonport,Auckland North Shore,2128000,2025-01-01
Oteha,Auckland North Shore,1190000,2025-01-01
Hatfields Beach,Auckland Rodney,1142000,2025-01-01
Stanmore Bay,Auckland Rodney,1068000,2025-01-01
Hairini,Tauranga,760000,2025-01-01
Blenheim,Marlborough,591000,2025-01-01
One Tree Point,Whangarei,1071000,2025-01-01
Ruakaka,Whangarei,900000,2025-01-01
Hurdon,New Plymouth,809000,2025-01-01
Lower Vogeltown,New Plymouth,715000,2025-01-01
Murrays Bay,Auckland North Shore,1788000,2025-01-01
Gulf Harbour,Auckland Rodney,1075000,2025-01-01
Waimauku,Auckland Rodney,1590000,2025-01-01
Waiotahe,Opotiki,999000,2025-01-01
Gisborne,Gisborne,550000,2025-01-01
Akina,Hastings,624000,2025-01-01
Bay View,Napier,1012000,2025-01-01
Pirimai,Napier,617000,2025-01-01
Waikawa,Marlborough,934000,2025-01-01
Merrilands,New Plymouth,765000,2025-01-01
Pauanui,Thames-Coromandel,1553000,2025-01-01
Horotiu,Waikato,948000,2025-01-01
Hutt Central,Lower Hutt,981000,2025-01-01
Plimmerton,Porirua,979000,2025-01-01
Tawa,Wellington,851000,2025-01-01
Ostend,Auckland City,1450000,2025-01-01
