Suburb,Local_authority,Average_property_value,Date
Belfast,Christchurch,698000,2024-02-01
Fairfield,Hamilton,762000,2024-02-01
Camberley,Hastings,551000,2024-02-01
Parkvale,Hastings,675000,2024-02-01
Paeroa,Hauraki,588000,2024-02-01
Waikanae,Kapiti Coast,917000,2024-02-01
Nelson South,Nelson,762000,2024-02-01
Welbourn,New Plymouth,698000,2024-02-01
Springfield,Rotorua,815000,2024-02-01
Brightwater,Tasman,937000,2024-02-01
Woodend,Waimakariri,735000,2024-02-01
Aro Valley,Wellington,948000,2024-02-01
Maungatapere,Whangarei,1051000,2024-02-01
Ponsonby,Auckland City,2450000,2024-02-01
The Gardens,Auckland Manukau,1310000,2024-02-01
Totara Vale,Auckland North Shore,1023000,2024-02-01
Mairehau,Christchurch,652000,2024-02-01
Merivale,Christchurch,1553000,2024-02-01
Beerescourt,Hamilton,995000,2024-02-01
Rototuna North,Hamilton,1034000,2024-02-01
Akina,Hastings,629000,2024-02-01
Witherlea,Marlborough,760000,2024-02-01
Pirimai,Napier,626000,2024-02-01
Takaro,Palmerston North,560000,2024-02-01
Tamahere,Waikato,2065000,2024-02-01
Ngahinapouri,Waipa,1377000,2024-02-01
Berhampore,Wellington,841000,2024-02-01
Allenton,Ashburton,624000,2024-02-01
Blockhouse Bay,Auckland City,1208000,2024-02-01
New Windsor,Auckland City,1251000,2024-02-01
Oneroa,Auckland City,2083000,2024-02-01
Stonefields,Auckland City,1587000,2024-02-01
Waterview,Auckland City,1065000,2024-02-01
Rothesay Bay,Auckland North Shore,1644000,2024-02-01
Beckenham,Christchurch,893000,2024-02-01
Bromley,Christchurch,527000,2024-02-01
Marshland,Christchurch,1059000,2024-02-01
Riccarton,Christchurch,752000,2024-02-01
Strowan,Christchurch,1237000,2024-02-01
Kaikohe,Far North,404000,2024-02-01
Pukete,Hamilton,821000,2024-02-01
Rototuna,Hamilton,1025000,2024-02-01
Raumati Beach,Kapiti Coast,853000,2024-02-01
Springlands,Marlborough,824000,2024-02-01
Poraiti,Napier,1257000,2024-02-01
Stepneyville,Nelson,1221000,2024-02-01
The Brook,Nelson,690000,2024-02-01
Waitara,New Plymouth,484000,2024-02-01
Greerton,Tauranga,724000,2024-02-01
Pokeno,Waikato,1035000,2024-02-01
Te Awamutu,Waipa,790000,2024-02-01
Wellington Central,Wellington,556000,2024-02-01
Grey Lynn,Auckland City,1832000,2024-02-01
Clarks Beach,Auckland Franklin,1195000,2024-02-01
Long Bay,Auckland North Shore,1754000,2024-02-01
Pinehill,Auckland North Shore,1777000,2024-02-01
Karaka,Auckland Papakura,1640000,2024-02-01
Rosehill,Auckland Papakura,955000,2024-02-01
Orewa,Auckland Rodney,1239000,2024-02-01
Dallington,Christchurch,585000,2024-02-01
Harewood,Christchurch,1120000,2024-02-01
Hillsborough,Christchurch,823000,2024-02-01
Ilam,Christchurch,936000,2024-02-01
Islington,Christchurch,569000,2024-02-01
Inner Kaiti,Gisborne,720000,2024-02-01
Melville,Hamilton,655000,2024-02-01
Mahora,Hastings,716000,2024-02-01
Wainuiomata,Lower Hutt,640000,2024-02-01
Mayfield,Marlborough,566000,2024-02-01
Tahunanui,Nelson,675000,2024-02-01
Woodville,Tararua,437000,2024-02-01
Taupiri,Waikato,1067000,2024-02-01
Leamington,Waipa,947000,2024-02-01
Pukehina,Western Bay of Plenty,1269000,2024-02-01
Tahawai,Western Bay of Plenty,1261000,2024-02-01
Tutukaka,Whangarei,1327000,2024-02-01
Mount Roskill,Auckland City,1167000,2024-02-01
Pakuranga,Auckland Manukau,1177000,2024-02-01
Northcote Point,Auckland North Shore,1746000,2024-02-01
Pahurehure,Auckland Papakura,1016000,2024-02-01
Te Atatu Peninsula,Auckland Waitakere,1105000,2024-02-01
West Harbour,Auckland Waitakere,1286000,2024-02-01
Caversham,Dunedin,468000,2024-02-01
Chartwell,Hamilton,839000,2024-02-01
Hamilton Lake,Hamilton,901000,2024-02-01
Frimley,Hastings,884000,2024-02-01
Mayfair,Hastings,614000,2024-02-01
Foxton Beach,Horowhenua,626000,2024-02-01
Lynmouth,New Plymouth,696000,2024-02-01
Vogeltown,New Plymouth,601000,2024-02-01
Westown,New Plymouth,628000,2024-02-01
Glenholme,Rotorua,676000,2024-02-01
Ngongotaha,Rotorua,704000,2024-02-01
Pukehangi,Rotorua,643000,2024-02-01
Darfield,Selwyn,850000,2024-02-01
Lincoln,Selwyn,998000,2024-02-01
Rangiora,Waimakariri,715000,2024-02-01
Sefton,Waimakariri,987000,2024-02-01
Ohaupo,Waipa,1283000,2024-02-01
Paparangi,Wellington,849000,2024-02-01
Tawa,Wellington,856000,2024-02-01
Thorndon,Wellington,976000,2024-02-01
Onerahi,Whangarei,647000,2024-02-01
Ramarama,Auckland Franklin,1504000,2024-02-01
Takapuna,Auckland North Shore,2216000,2024-02-01
Linwood,Christchurch,504000,2024-02-01
Appleby,Invercargill,338000,2024-02-01
Petone,Lower Hutt,834000,2024-02-01
The Wood,Nelson,789000,2024-02-01
Wakefield,Tasman,903000,2024-02-01
Buckland,Waikato,1319000,2024-02-01
Glenbervie,Whangarei,1174000,2024-02-01
Favona,Auckland Manukau,855000,2024-02-01
Hauraki,Auckland North Shore,2022000,2024-02-01
Glendene,Auckland Waitakere,962000,2024-02-01
Westgate,Auckland Waitakere,933000,2024-02-01
Whenuapai,Auckland Waitakere,1250000,2024-02-01
Flagstaff,Hamilton,1136000,2024-02-01
Georgetown,Invercargill,382000,2024-02-01
Bell Block,New Plymouth,759000,2024-02-01
Inglewood,New Plymouth,638000,2024-02-01
Kelvin Grove,Palmerston North,809000,2024-02-01
Lynmore,Rotorua,937000,2024-02-01
Otamatea,Whanganui,883000,2024-02-01
Saint Johns Hill,Whanganui,666000,2024-02-01
Kingsland,Auckland City,1376000,2024-02-01
Meadowbank,Auckland City,1672000,2024-02-01
Saint Marys Bay,Auckland City,2986000,2024-02-01
Weymouth,Auckland Manukau,792000,2024-02-01
Torbay,Auckland North Shore,1278000,2024-02-01
Riverhead,Auckland Rodney,1833000,2024-02-01
Snells Beach,Auckland Rodney,1103000,2024-02-01
Heathcote Valley,Christchurch,821000,2024-02-01
Northwood,Christchurch,1082000,2024-02-01
Waltham,Christchurch,510000,2024-02-01
Kingswell,Invercargill,414000,2024-02-01
Highbury,Palmerston North,530000,2024-02-01
Camborne,Porirua,941000,2024-02-01
Sunnybrook,Rotorua,731000,2024-02-01
Tai Tapu,Selwyn,1497000,2024-02-01
Gate Pa,Tauranga,678000,2024-02-01
Temple View,Waipa,1049000,2024-02-01
South Hill,Waitaki,528000,2024-02-01
Parua Bay,Whangarei,1121000,2024-02-01
Burswood,Auckland Manukau,1245000,2024-02-01
Glen Eden,Auckland Waitakere,862000,2024-02-01
Nawton,Hamilton,670000,2024-02-01
Bunnythorpe,Manawatu,876000,2024-02-01
Atawhai,Nelson,925000,2024-02-01
Fitzherbert,Palmerston North,942000,2024-02-01
Prebbleton,Selwyn,1267000,2024-02-01
Watlington,Timaru,472000,2024-02-01
Eyrewell,Waimakariri,1035000,2024-02-01
Waikuku Beach,Waimakariri,699000,2024-02-01
Kelburn,Wellington,1495000,2024-02-01
Castlecliff,Whanganui,429000,2024-02-01
Avenues,Whangarei,541000,2024-02-01
Kauri,Whangarei,1063000,2024-02-01
Mount Albert,Auckland City,1369000,2024-02-01
Sandringham,Auckland City,1394000,2024-02-01
Castor Bay,Auckland North Shore,1977000,2024-02-01
Arkles Bay,Auckland Rodney,1134000,2024-02-01
Aranui,Christchurch,476000,2024-02-01
St Andrews,Hamilton,846000,2024-02-01
Redwoodtown,Marlborough,596000,2024-02-01
Papakowhai,Porirua,903000,2024-02-01
