Suburb,District,Average property value,3-month change %
Queenstown,Queenstown-Lakes,"$1,795,000",0.7
Lower Shotover,Queenstown-Lakes,"$1,833,000",0.7
Saint Heliers,Auckland City,"$2,312,000",0.7
Marfell,New Plymouth,"$482,000",0.6
Wainoni,Christchurch,"$523,000",0.6
Avenues,Whangarei,"$535,000",0.6
Masterton,Masterton,"$535,000",0.6
Shirley,Christchurch,"$651,000",0.6
Ebdentown,Upper Hutt,"$665,000",0.6
Inner Kaiti,Gisborne,"$698,000",0.6
Hokowhitu,Palmerston North,"$786,000",0.6
Haruru,Far North,"$831,000",0.6
Mangere East,Auckland Manukau,"$874,000",0.6
Pukekohe,Auckland Franklin,"$899,000",0.6
Ohauiti,Western Bay of Plenty,"$1,102,000",0.6
Pakuranga,Auckland Manukau,"$1,103,000",0.6
Mangere Bridge,Auckland Manukau,"$1,139,000",0.6
Howick,Auckland Manukau,"$1,160,000",0.6
Ohope,Whakatane,"$1,280,000",0.6
Windsor,Invercargill,"$595,000",0.5
Tainui,Dunedin,"$601,000",0.5
Milson,Palmerston North,"$621,000",0.5
Frankton,Hamilton,"$644,000",0.5
Regent,Whangarei,"$655,000",0.5
Somerfield,Christchurch,"$743,000",0.5
Matamata,Matamata-Piako,"$810,000",0.5
Paparangi,Wellington,"$827,000",0.5
Maupuia,Wellington,"$881,000",0.5
Enner Glynn,Nelson,"$888,000",0.5
Te Atatu South,Auckland Waitakere,"$930,000",0.5
Paremata,Porirua,"$934,000",0.5
Luggate,Queenstown-Lakes,"$1,185,000",0.5
Tutukaka,Whangarei,"$1,275,000",0.5
Phillipstown,Christchurch,"$463,000",0.4
Pahiatua,Tararua,"$490,000",0.4
Oamaru North,Waitaki,"$499,000",0.4
Bromley,Christchurch,"$527,000",0.4
Edgeware,Christchurch,"$563,000",0.4
Te Hapara,Gisborne,"$567,000",0.4
Mahora,Hastings,"$697,000",0.4
Brooklands,New Plymouth,"$698,000",0.4
Lower Vogeltown,New Plymouth,"$720,000",0.4
Woodend,Waimakariri,"$732,000",0.4
Cable Bay,Far North,"$804,000",0.4
Favona,Auckland Manukau,"$853,000",0.4
Welcome Bay,Western Bay of Plenty,"$897,000",0.4
Glendene,Auckland Waitakere,"$919,000",0.4
Yaldhurst,Christchurch,"$987,000",0.4
Miramar,Wellington,"$990,000",0.4
Ngaio,Wellington,"$1,014,000",0.4
