Suburb,TLA,Current average property value,1-year change %
Aokautere,Palmerston North,"$1,162,000",0.4
Avenues,Whangarei,"$542,000",0.4
Te Kauwhata,Waikato,"$824,000",0.4
Elderslea,Upper Hutt,"$728,000",0.4
Albany,Auckland North Shore,"$1,136,000",0.3
Coastlands,Whakatane,"$987,000",0.3
Glenbervie,Whangarei,"$1,154,000",0.3
Kelvin Heights,Queenstown-Lakes,"$2,754,000",0.3
Otatara,Invercargill,"$791,000",0.3
Wakefield,Tasman,"$899,000",0.3
Whatawhata,Waikato,"$1,191,000",0.3
Woburn,Lower Hutt,"$1,175,000",0.3
Mangakakahi,Rotorua,"$517,000",0.2
Owhata,Rotorua,"$659,000",0.2
Westmorland,Christchurch,"$1,182,000",0.2
Napier South,Napier,"$656,000",0.2
Oakura,New Plymouth,"$1,327,000",0.2
Turangi,Taupo,"$483,000",0.2
Paraparaumu Beach,Kapiti Coast,"$853,000",0.2
Browns Bay,Auckland North Shore,"$1,244,000",0.1
Burnside,Christchurch,"$898,000",0.1
Northwood,Christchurch,"$1,081,000",0.1
Riccarton,Christchurch,"$756,000",0.1
Snells Beach,Auckland Rodney,"$1,103,000",0
Athenree,Western Bay of Plenty,"$1,091,000",0
Richmond,Christchurch,"$576,000",0
Somerfield,Christchurch,"$744,000",0
Morningside,Whangarei,"$563,000",0
Alexandra,Central Otago,"$774,000",0
Motueka,Tasman,"$716,000",0
Frankton,Hamilton,"$651,000",0
Tamahere,Waikato,"$2,043,000",0
Otaihanga,Kapiti Coast,"$1,095,000",0
Wainuiomata,Lower Hutt,"$640,000",0
Berhampore,Wellington,"$844,000",0
Unsworth Heights,Auckland North Shore,"$1,178,000",-0.1
Kumeu,Auckland Rodney,"$1,504,000",-0.1
Ngongotaha,Rotorua,"$691,000",-0.1
Gate Pa,Tauranga,"$679,000",-0.1
Mount Pleasant,Christchurch,"$1,167,000",-0.1
St Albans,Christchurch,"$889,000",-0.1
Halcombe,Manawatu,"$812,000",-0.1
Clyde,Central Otago,"$946,000",-0.1
Appleby,Tasman,"$1,020,000",-0.1
Kihikihi,Waipa,"$755,000",-0.1
Freemans Bay,Auckland City,"$1,669,000",-0.2
Coatesville,Auckland Rodney,"$3,536,000",-0.2
Warkworth,Auckland Rodney,"$1,225,000",-0.2
Te Hapara,Gisborne,"$565,000",-0.2
Kaiwaka,Kaipara,"$921,000",-0.2
Kauri,Whangarei,"$1,043,000",-0.2
Flagstaff,Hamilton,"$1,127,000",-0.2
Huntly,Waikato,"$553,000",-0.2
Pokeno,Waikato,"$1,024,000",-0.2
Kelson,Lower Hutt,"$844,000",-0.2
Wilton,Wellington,"$934,000",-0.2
Auckland Central,Auckland City,"$573,000",-0.3
Lynmore,Rotorua,"$914,000",-0.3
Highfield,Timaru,"$606,000",-0.3
Parkvale,Hastings,"$676,000",-0.3
Ashhurst,Manawatu,"$708,000",-0.3
Redwoodtown,Marlborough,"$595,000",-0.3
Bridge Hill,Central Otago,"$943,000",-0.3
Frankleigh Park,New Plymouth,"$710,000",-0.3
Otorohanga,Otorohanga,"$633,000",-0.3
Ngahinapouri,Waipa,"$1,352,000",-0.3
Moera,Lower Hutt,"$587,000",-0.3
Eden Terrace,Auckland City,"$803,000",-0.4
Castor Bay,Auckland North Shore,"$1,982,000",-0.4
Sunnynook,Auckland North Shore,"$1,192,000",-0.4
Hobsonville,Auckland Waitakere,"$1,131,000",-0.4
Harewood,Christchurch,"$1,117,000",-0.4
Marchwiel,Timaru,"$522,000",-0.4
Pegasus,Waimakariri,"$850,000",-0.4
Westbrook,Palmerston North,"$565,000",-0.4
Riversdale,Marlborough,"$548,000",-0.4
Toi Toi,Nelson,"$549,000",-0.4
Korokoro,Lower Hutt,"$954,000",-0.4
Waterloo,Lower Hutt,"$830,000",-0.4
Dannemora,Auckland Manukau,"$1,647,000",-0.5
Omokoroa,Western Bay of Plenty,"$1,112,000",-0.5
Northcote,Christchurch,"$584,000",-0.5
Eskdale,Hastings,"$1,352,000",-0.5
Hikurangi,Whangarei,"$568,000",-0.5
Tasman,Tasman,"$1,529,000",-0.5
Tokoroa,South Waikato,"$424,000",-0.5
Tuakau,Waikato,"$836,000",-0.5
Stokes Valley,Lower Hutt,"$641,000",-0.5
Paremata,Porirua,"$917,000",-0.5
Hillcrest,Auckland North Shore,"$1,230,000",-0.6
Victoria,Rotorua,"$504,000",-0.6
Matua,Tauranga,"$1,178,000",-0.6
Edgecumbe,Whakatane,"$641,000",-0.6
Elgin,Gisborne,"$471,000",-0.6
Whataupoko,Gisborne,"$820,000",-0.6
Kawakawa,Far North,"$507,000",-0.6
Normanby,South Taranaki,"$510,000",-0.6
Morrinsville,Matamata-Piako,"$784,000",-0.6
Te Aroha,Matamata-Piako,"$684,000",-0.6
Belmont,Lower Hutt,"$931,000",-0.6
Clendon Park,Auckland Manukau,"$731,000",-0.7
Bayview,Auckland North Shore,"$1,011,000",-0.7
Windsor Park,Auckland North Shore,"$1,372,000",-0.7
Bethlehem,Tauranga,"$1,119,000",-0.7
Huntsbury,Christchurch,"$1,149,000",-0.7
Gleniti,Timaru,"$823,000",-0.7
Springlands,Marlborough,"$819,000",-0.7
Glenorchy,Queenstown-Lakes,"$1,510,000",-0.7
Blagdon,New Plymouth,"$585,000",-0.7
Patea,South Taranaki,"$303,000",-0.7
Brightwater,Tasman,"$932,000",-0.7
Boulcott,Lower Hutt,"$861,000",-0.7
Maraetai,Auckland Manukau,"$1,532,000",-0.8
Forrest Hill,Auckland North Shore,"$1,402,000",-0.8
Torbay,Auckland North Shore,"$1,270,000",-0.8
Kaukapakapa,Auckland Rodney,"$1,423,000",-0.8
Lyttelton,Christchurch,"$776,000",-0.8
Riverdale,Gisborne,"$775,000",-0.8
Nelson South,Nelson,"$760,000",-0.8
Washington Valley,Nelson,"$617,000",-0.8
Ngunguru,Whangarei,"$1,003,000",-0.8
Marfell,New Plymouth,"$484,000",-0.8
Welbourn,New Plymouth,"$701,000",-0.8
Upper Moutere,Tasman,"$1,271,000",-0.8
Rototuna North,Hamilton,"$1,021,000",-0.8
Matangi,Waikato,"$1,645,000",-0.8
Otaki,Kapiti Coast,"$703,000",-0.8
Otaki Beach,Kapiti Coast,"$611,000",-0.8
Paekakariki,Kapiti Coast,"$923,000",-0.8
Grafton,Auckland City,"$657,000",-0.9
Waiake,Auckland North Shore,"$1,613,000",-0.9
Red Beach,Auckland Rodney,"$1,239,000",-0.9
Christchurch Central,Christchurch,"$686,000",-0.9
Kensington,Timaru,"$458,000",-0.9
Clive,Hastings,"$910,000",-0.9
Atawhai,Nelson,"$924,000",-0.9
Cooks Beach,Thames-Coromandel,"$1,454,000",-0.9
Epuni,Lower Hutt,"$778,000",-0.9
Saint Heliers,Auckland City,"$2,284,000",-1
Omaha,Auckland Rodney,"$2,813,000",-1
Hastings,Hastings,"$603,000",-1
Onekawa,Napier,"$584,000",-1
Foxton,Horowhenua,"$508,000",-1
Awapuni,Palmerston North,"$619,000",-1
Marton,Rangitikei,"$490,000",-1
