Suburb,TLA,Average property value,YoY % change,YoY $ change
Roslyn,Dunedin,"$891,000",3,"$26,000"
Heidelberg,Invercargill,"$417,000",3,"$12,000"
Maeroa,Hamilton,"$730,000",3,"$21,000"
Raumati Beach,Kapiti Coast,"$894,000",3,"$26,000"
Mount Victoria,Wellington,"$1,253,000",3,"$36,000"
Whitford,Auckland Manukau,"$3,518,000",2.9,"$98,000"
Epuni,Lower Hutt,"$803,000",2.9,"$23,000"
Berhampore,Wellington,"$866,000",2.9,"$24,000"
Northland,Wellington,"$1,111,000",2.9,"$31,000"
Glendowie,Auckland City,"$2,302,000",2.8,"$63,000"
Royal Oak,Auckland City,"$1,418,000",2.8,"$38,000"
Maraetai,Auckland Manukau,"$1,557,000",2.8,"$42,000"
Sunnyhills,Auckland Manukau,"$1,700,000",2.8,"$46,000"
Woodend,Waimakariri,"$744,000",2.8,"$20,000"
Mangawhai,Kaipara,"$1,344,000",2.8,"$36,000"
Maungaturoto,Kaipara,"$767,000",2.8,"$21,000"
Fairview Downs,Waikato,"$725,000",2.8,"$20,000"
Clendon Park,Auckland Manukau,"$754,000",2.7,"$20,000"
Red Hill,Auckland Papakura,"$826,000",2.7,"$22,000"
Green Bay,Auckland Waitakere,"$1,202,000",2.7,"$32,000"
Haumoana,Hastings,"$1,152,000",2.7,"$30,000"
Belmont,Lower Hutt,"$964,000",2.7,"$25,000"
Cockle Bay,Auckland Manukau,"$1,638,000",2.6,"$42,000"
Flat Bush,Auckland Manukau,"$1,386,000",2.6,"$35,000"
Cloverlea,Palmerston North,"$563,000",2.6,"$14,000"
Roslyn,Palmerston North,"$555,000",2.6,"$14,000"
Wakari,Dunedin,"$598,000",2.6,"$15,000"
Waikiwi,Invercargill,"$623,000",2.6,"$16,000"
Karori,Wellington,"$1,090,000",2.6,"$28,000"
Newtown,Wellington,"$984,000",2.6,"$25,000"
Albany Heights,Auckland North Shore,"$1,417,000",2.5,"$35,000"
Waiake,Auckland North Shore,"$1,613,000",2.5,"$39,000"
Windsor Park,Auckland North Shore,"$1,382,000",2.5,"$34,000"
Bellevue,Tauranga,"$814,000",2.5,"$20,000"
Mornington,Dunedin,"$569,000",2.5,"$14,000"
Rototuna,Hamilton,"$1,022,000",2.5,"$25,000"
Wattle Downs,Auckland Manukau,"$1,058,000",2.4,"$25,000"
St Albans,Christchurch,"$898,000",2.4,"$21,000"
Outer Kaiti,Gisborne,"$502,000",2.4,"$12,000"
St Andrews,Hamilton,"$842,000",2.4,"$20,000"
Ngaio,Wellington,"$1,069,000",2.4,"$25,000"
Hillsborough,Auckland City,"$1,336,000",2.3,"$30,000"
Conifer Grove,Auckland Papakura,"$1,051,000",2.3,"$24,000"
Glenholme,Rotorua,"$673,000",2.3,"$15,000"
Kaikorai,Dunedin,"$585,000",2.3,"$13,000"
Stratford,Stratford,"$540,000",2.3,"$12,000"
Thorndon,Wellington,"$978,000",2.3,"$22,000"
Hillpark,Auckland Manukau,"$958,000",2.2,"$21,000"
Linwood,Christchurch,"$506,000",2.2,"$11,000"
Phillipstown,Christchurch,"$458,000",2.2,"$10,000"
West End,Timaru,"$501,000",2.2,"$11,000"
Pegasus,Waimakariri,"$841,000",2.2,"$18,000"
Waimate,Waimate,"$514,000",2.2,"$11,000"
Eskdale,Hastings,"$1,351,000",2.2,"$29,000"
Mayfair,Hastings,"$612,000",2.2,"$13,000"
Hillcrest,Hamilton,"$795,000",2.2,"$17,000"
New Windsor,Auckland City,"$1,256,000",2.1,"$26,000"
Beachlands,Auckland Manukau,"$1,604,000",2.1,"$33,000"
East Tamaki,Auckland Manukau,"$1,152,000",2.1,"$24,000"
Howick,Auckland Manukau,"$1,213,000",2.1,"$25,000"
Rothesay Bay,Auckland North Shore,"$1,649,000",2.1,"$34,000"
Mangakakahi,Rotorua,"$529,000",2.1,"$11,000"
Halswell,Christchurch,"$861,000",2.1,"$18,000"
Amberley,Hurunui,"$736,000",2.1,"$15,000"
Tai Tapu,Selwyn,"$1,494,000",2.1,"$31,000"
Highbury,Palmerston North,"$536,000",2.1,"$11,000"
Pukete,Hamilton,"$825,000",2.1,"$17,000"
Maungaraki,Lower Hutt,"$880,000",2.1,"$18,000"
Waterview,Auckland City,"$1,057,000",2,"$21,000"
Totara Heights,Auckland Manukau,"$1,034,000",2,"$20,000"
Torbay,Auckland North Shore,"$1,275,000",2,"$25,000"
Rosehill,Auckland Papakura,"$962,000",2,"$19,000"
Takanini,Auckland Papakura,"$946,000",2,"$19,000"
Arkles Bay,Auckland Rodney,"$1,144,000",2,"$22,000"
Ohope,Whakatane,"$1,301,000",2,"$26,000"
Sydenham,Christchurch,"$570,000",2,"$11,000"
Oxford,Waimakariri,"$707,000",2,"$14,000"
Swannanoa,Waimakariri,"$1,305,000",2,"$25,000"
Enderley,Hamilton,"$626,000",2,"$12,000"
Saint Heliers,Auckland City,"$2,335,000",1.9,"$44,000"
Stonefields,Auckland City,"$1,586,000",1.9,"$29,000"
Campbells Bay,Auckland North Shore,"$2,347,000",1.9,"$44,000"
Springfield,Rotorua,"$818,000",1.9,"$15,000"
Seaview,Timaru,"$481,000",1.9,"$9,000"
Aramoho,Whanganui,"$494,000",1.9,"$9,000"
Westmere,Whanganui,"$1,031,000",1.9,"$19,000"
Half Moon Bay,Auckland Manukau,"$1,629,000",1.8,"$29,000"
Beach Haven,Auckland North Shore,"$1,078,000",1.8,"$19,000"
Birkenhead,Auckland North Shore,"$1,348,000",1.8,"$24,000"
Murrays Bay,Auckland North Shore,"$1,797,000",1.8,"$32,000"
West End,Palmerston North,"$606,000",1.8,"$11,000"
Okaihau,Far North,"$784,000",1.8,"$14,000"
Lake Hawea,Queenstown-Lakes,"$1,358,000",1.8,"$24,000"
Weston,Waitaki,"$731,000",1.8,"$13,000"
Avalon,Lower Hutt,"$733,000",1.8,"$13,000"
Newmarket,Auckland City,"$901,000",1.7,"$15,000"
Otahuhu,Auckland City,"$789,000",1.7,"$13,000"
Wai o Taiki Bay,Auckland City,"$1,570,000",1.7,"$27,000"
Goodwood Heights,Auckland Manukau,"$1,073,000",1.7,"$18,000"
Southbridge,Selwyn,"$652,000",1.7,"$11,000"
Bader,Hamilton,"$600,000",1.7,"$10,000"
Saint Marys Bay,Auckland City,"$2,954,000",1.6,"$46,000"
Forrest Hill,Auckland North Shore,"$1,401,000",1.6,"$22,000"
Opaheke,Auckland Papakura,"$1,098,000",1.6,"$17,000"
Kaiti,Gisborne,"$513,000",1.6,"$8,000"
Castlecliff,Whanganui,"$443,000",1.6,"$7,000"
Newfield,Invercargill,"$452,000",1.6,"$7,000"
Grandview Heights,Hamilton,"$914,000",1.6,"$14,000"
Glenview,Waipa,"$773,000",1.6,"$12,000"
Onehunga,Auckland City,"$1,171,000",1.5,"$17,000"
West Harbour,Auckland Waitakere,"$1,322,000",1.5,"$19,000"
Kaiapoi,Waimakariri,"$695,000",1.5,"$10,000"
Clive,Hastings,"$901,000",1.5,"$13,000"
Gladstone,Invercargill,"$618,000",1.5,"$9,000"
Hawthorndale,Invercargill,"$485,000",1.5,"$7,000"
Mount Roskill,Auckland City,"$1,175,000",1.4,"$16,000"
New Lynn,Auckland Waitakere,"$885,000",1.4,"$12,000"
Woolston,Christchurch,"$565,000",1.4,"$8,000"
Taradale,Napier,"$845,000",1.4,"$12,000"
Milson,Palmerston North,"$630,000",1.4,"$9,000"
Lower Vogeltown,New Plymouth,"$730,000",1.4,"$10,000"
Woburn,Lower Hutt,"$1,201,000",1.4,"$17,000"
Auckland Central,Auckland City,"$606,000",1.3,"$8,000"
Greenlane,Auckland City,"$1,883,000",1.3,"$25,000"
Ponsonby,Auckland City,"$2,413,000",1.3,"$32,000"
Pukehangi,Rotorua,"$638,000",1.3,"$8,000"
Kaikohe,Far North,"$400,000",1.3,"$5,000"
Russell,Far North,"$1,564,000",1.3,"$20,000"
Beerescourt,Hamilton,"$990,000",1.3,"$13,000"
Chedworth,Hamilton,"$916,000",1.3,"$12,000"
Otaki Beach,Kapiti Coast,"$642,000",1.3,"$8,000"
Onetangi,Auckland City,"$1,878,000",1.2,"$22,000"
Ostend,Auckland City,"$1,441,000",1.2,"$17,000"
Pahurehure,Auckland Papakura,"$1,015,000",1.2,"$12,000"
Darfield,Selwyn,"$856,000",1.2,"$10,000"
Waikawa,Marlborough,"$942,000",1.2,"$11,000"
Glengarry,Invercargill,"$437,000",1.2,"$5,000"
Windsor,Invercargill,"$581,000",1.2,"$7,000"
Khandallah,Wellington,"$1,278,000",1.2,"$15,000"
Saint Johns,Auckland City,"$1,518,000",1.1,"$17,000"
The Gardens,Auckland Manukau,"$1,290,000",1.1,"$14,000"
Papakura,Auckland Papakura,"$850,000",1.1,"$9,000"
Glendene,Auckland Waitakere,"$970,000",1.1,"$11,000"
Fitzherbert,Palmerston North,"$941,000",1.1,"$10,000"
Bell Block,New Plymouth,"$758,000",1.1,"$8,000"
Inglewood,New Plymouth,"$640,000",1.1,"$7,000"
Kilbirnie,Wellington,"$906,000",1.1,"$10,000"
Glen Innes,Auckland City,"$1,151,000",1,"$11,000"
Point Chevalier,Auckland City,"$1,925,000",1,"$19,000"
Browns Bay,Auckland North Shore,"$1,235,000",1,"$12,000"
Red Beach,Auckland Rodney,"$1,261,000",1,"$12,000"
Snells Beach,Auckland Rodney,"$1,115,000",1,"$11,000"
Bethlehem,Tauranga,"$1,125,000",1,"$11,000"
Greerton,Tauranga,"$722,000",1,"$7,000"
Cheviot,Hurunui,"$500,000",1,"$5,000"
Kaeo,Far North,"$841,000",1,"$8,000"
Dunedin Central,Dunedin,"$710,000",1,"$7,000"
Marfell,New Plymouth,"$484,000",1,"$5,000"
Fitzroy,Hamilton,"$795,000",1,"$8,000"
Flagstaff,Hamilton,"$1,136,000",1,"$11,000"
Castor Bay,Auckland North Shore,"$1,958,000",0.9,"$18,000"
Papamoa,Western Bay of Plenty,"$921,000",0.9,"$8,000"
Mangapapa,Gisborne,"$647,000",0.9,"$6,000"
Nelson,Nelson,"$1,139,000",0.9,"$10,000"
Claudelands,Hamilton,"$769,000",0.9,"$7,000"
Waipahihi,Taupo,"$1,100,000",0.9,"$10,000"
Paraparaumu Beach,Kapiti Coast,"$876,000",0.9,"$8,000"
Hutt Central,Lower Hutt,"$1,007,000",0.9,"$9,000"
Hataitai,Wellington,"$1,204,000",0.9,"$11,000"
Grey Lynn,Auckland City,"$1,808,000",0.8,"$14,000"
Kohimarama,Auckland City,"$2,232,000",0.8,"$17,000"
Clarks Beach,Auckland Franklin,"$1,193,000",0.8,"$9,000"
Sunnyvale,Auckland Waitakere,"$900,000",0.8,"$7,000"
Frimley,Hastings,"$883,000",0.8,"$7,000"
Winton,Southland,"$606,000",0.8,"$5,000"
Silverdale,Hamilton,"$732,000",0.8,"$6,000"
Surfdale,Auckland City,"$1,373,000",0.7,"$10,000"
Pomare,Rotorua,"$741,000",0.7,"$5,000"
Brookfield,Tauranga,"$816,000",0.7,"$6,000"
Havelock North,Hastings,"$1,233,000",0.7,"$8,000"
Takaro,Palmerston North,"$560,000",0.7,"$4,000"
Parahaki,Whangarei,"$761,000",0.7,"$5,000"
Mosgiel,Dunedin,"$719,000",0.7,"$5,000"
Waverley,Invercargill,"$570,000",0.7,"$4,000"
Hawera,South Taranaki,"$548,000",0.7,"$4,000"
Fairfield,Hamilton,"$772,000",0.7,"$5,000"
Te Aroha,Matamata-Piako,"$698,000",0.7,"$5,000"
Panmure,Auckland City,"$1,032,000",0.6,"$6,000"
Wiri,Auckland Manukau,"$683,000",0.6,"$4,000"
Bayswater,Auckland North Shore,"$1,751,000",0.6,"$10,000"
Western Heights,Rotorua,"$524,000",0.6,"$3,000"
Yaldhurst,Christchurch,"$982,000",0.6,"$6,000"
Terrace End,Palmerston North,"$643,000",0.6,"$4,000"
Saint Kilda,Dunedin,"$503,000",0.6,"$3,000"
Gore,Gore,"$473,000",0.6,"$3,000"
Hargest,Invercargill,"$529,000",0.6,"$3,000"
Meadowbank,Auckland City,"$1,677,000",0.5,"$9,000"
Morningside,Auckland City,"$1,302,000",0.5,"$7,000"
Patumahoe,Auckland Franklin,"$1,253,000",0.5,"$6,000"
Hillcrest,Auckland North Shore,"$1,231,000",0.5,"$6,000"
Sunnynook,Auckland North Shore,"$1,198,000",0.5,"$6,000"
